Issue Type,Summary,Description,Parent,Epic Name,Story Points,Priority,Components,Labels,Acceptance Criteria
Task,Implement code evaluation prompts,Prompt templates for code review covering correctness style efficiency,Code Assessment and Review,,3,High,Backend,backend|ai,
Task,Add automated test execution,Run test cases against submitted code to verify functionality,Code Assessment and Review,,5,High,Backend,backend|code-execution,
Task,Build code submission interface,UI for submitting code with file upload or editor submission,Code Assessment and Review,,3,Medium,Frontend,frontend|ui,
Task,Create code feedback display,Show inline feedback with suggestions and improvement areas,Code Assessment and Review,,3,Medium,Frontend,frontend|ui,
Story,Scenario-Based Assessments,As a learner I want scenario-based questions so that I can apply knowledge to real situations,Evaluation and Assessment System,,5,Medium,Backend|Frontend,scenario|assessment,"GIVEN business/cloud/compliance topics WHEN evaluated THEN scenario questions are used; GIVEN scenario WHEN user responds THEN reasoning is assessed not just answer"
Task,Create scenario question generator,AI prompt to generate context-rich scenario questions for different domains,Scenario-Based Assessments,,5,Medium,Backend,backend|ai,
Task,Implement open-ended response evaluation,AI evaluation of text responses checking reasoning and completeness,Scenario-Based Assessments,,5,Medium,Backend,backend|ai,
Task,Build scenario assessment UI,Form for displaying scenario and collecting detailed text responses,Scenario-Based Assessments,,3,Medium,Frontend,frontend|ui,
Story,Adaptive Difficulty Assessment,As a learner I want assessments that match my level so that I am appropriately challenged,Evaluation and Assessment System,,8,Low,Backend,adaptive|ai,"GIVEN user performance WHEN doing well THEN difficulty increases; GIVEN user struggles WHEN detected THEN difficulty decreases; GIVEN assessment WHEN complete THEN difficulty level is recorded"
Task,Implement performance tracking,Track success rates response times to gauge learner level,Adaptive Difficulty Assessment,,3,Low,Backend,backend|analytics,
Task,Create difficulty adjustment algorithm,Algorithm to select next question difficulty based on performance,Adaptive Difficulty Assessment,,5,Low,Backend,backend|ai,
Story,Knowledge Gap Identification,As a learner I want to know my weak areas so that I can focus my learning,Evaluation and Assessment System,,5,Medium,Backend|Frontend,analytics|gaps,"GIVEN evaluation results WHEN analyzed THEN weak topics are identified; GIVEN knowledge gaps WHEN presented THEN recommendations for review are provided"
Task,Implement gap analysis algorithm,Analyze evaluation results to identify topics needing review,Knowledge Gap Identification,,3,Medium,Backend,backend|analytics,
Task,Create recommendations engine,Generate personalized review recommendations based on gaps,Knowledge Gap Identification,,3,Medium,Backend,backend|ai,
Task,Build gap visualization UI,Dashboard showing mastery levels and areas needing improvement,Knowledge Gap Identification,,3,Medium,Frontend,frontend|ui,
Epic,Progress Tracking and Analytics,Build comprehensive analytics system to track learning progress and outcomes,,Analytics,,,Core,analytics|progress,
Story,Learning Progress Dashboard,As a learner I want to see my progress so that I stay motivated,Progress Tracking and Analytics,,8,Medium,Frontend|Backend,dashboard|analytics,"GIVEN completed topics WHEN viewing dashboard THEN completion percentage is shown; GIVEN time spent WHEN tracked THEN learning pace is displayed; GIVEN evaluations WHEN taken THEN score trends are visible"
Task,Design analytics schema,Create progress_tracking table with metrics: completion_rate time_spent scores,Learning Progress Dashboard,,3,Medium,Backend,backend|database,
Task,Implement analytics calculation API,GET /api/analytics/progress to compute and return progress metrics,Learning Progress Dashboard,,3,Medium,Backend,backend|api,
Task,Build progress dashboard UI,Visual dashboard with charts showing completion time scores trends,Learning Progress Dashboard,,5,Medium,Frontend,frontend|ui,
Story,Topic Mastery Scoring,As a learner I want to know my mastery level so that I understand my competence,Progress Tracking and Analytics,,5,Medium,Backend,analytics|mastery,"GIVEN evaluations and interactions WHEN calculating mastery THEN score per topic is computed; GIVEN mastery score WHEN displayed THEN it is intuitive and actionable"
Task,Create mastery calculation algorithm,Algorithm combining evaluation scores interaction quality time to mastery,Topic Mastery Scoring,,5,Medium,Backend,backend|analytics,
Task,Add mastery score to topic display,Show mastery level (beginner intermediate expert) per topic in UI,Topic Mastery Scoring,,2,Medium,Frontend,frontend|ui,
Story,Learning Analytics Export,As a learner I want to export my learning data so that I can track externally,Progress Tracking and Analytics,,3,Low,Backend,export|analytics,"GIVEN learning history WHEN requesting export THEN data is provided in standard format; GIVEN export options WHEN selected THEN CSV or JSON is generated"
Task,Implement analytics export API,GET /api/analytics/export with format options (CSV JSON),Learning Analytics Export,,3,Low,Backend,backend|api,
Task,Add export button to dashboard,UI control to trigger export with format selection,Learning Analytics Export,,1,Low,Frontend,frontend|ui,
Epic,AI-Generated Curriculum,Build system to generate personalized learning curricula using AI,,AI Curriculum,,,Advanced,ai|curriculum|generation,
Story,Curriculum Generation Interface,As a learner I want AI to generate a curriculum so that I get personalized learning path,AI-Generated Curriculum,,13,Low,Backend|Frontend,ai|generation,"GIVEN user inputs (domain goals level) WHEN requesting curriculum THEN AI generates structured learning path; GIVEN generated curriculum WHEN reviewed THEN user can modify before accepting"
Task,Design curriculum generation prompts,System prompts for generating curricula with hierarchical topic structure,Curriculum Generation Interface,,3,Low,Backend,backend|ai,
Task,Implement curriculum generation API,POST /api/curricula/generate with parameters and streaming response,Curriculum Generation Interface,,5,Low,Backend,backend|api,
Task,Build curriculum generation UI,Form to input parameters and display generated curriculum for review,Curriculum Generation Interface,,5,Low,Frontend,frontend|ui,
Task,Add curriculum editing after generation,Allow user to modify AI-generated curriculum before saving,Curriculum Generation Interface,,3,Low,Frontend,frontend|ui,
Epic,Infrastructure and DevOps,Setup development deployment and monitoring infrastructure,,Infrastructure,,,Infrastructure,devops|infrastructure,
Story,Development Environment Setup,As a developer I want standardized dev environment so that setup is quick,Infrastructure and DevOps,,8,High,Infrastructure,devops|setup,"GIVEN new developer WHEN setting up THEN environment is ready in under 30 minutes; GIVEN Docker compose WHEN running THEN all services start correctly"
Task,Create Docker development environment,Dockerfile and docker-compose.yml for backend database Redis,Development Environment Setup,,5,High,Infrastructure,devops|docker,
Task,Setup environment configuration,Create .env.example with all required configuration variables,Development Environment Setup,,2,High,Infrastructure,devops|config,
Task,Write developer setup documentation,README with step-by-step setup instructions for local development,Development Environment Setup,,2,Medium,Documentation,documentation,
Story,CI/CD Pipeline Setup,As a developer I want automated testing and deployment so that releases are reliable,Infrastructure and DevOps,,13,High,Infrastructure,devops|cicd,"GIVEN code push WHEN to main branch THEN tests run automatically; GIVEN tests pass WHEN build completes THEN deployment occurs; GIVEN deployment WHEN failed THEN rollback is automatic"
Task,Setup GitHub Actions workflows,Create workflows for test build and deploy on push and PR,CI/CD Pipeline Setup,,5,High,Infrastructure,devops|github,
Task,Configure automated testing,Run unit integration and E2E tests in CI pipeline,CI/CD Pipeline Setup,,3,High,Infrastructure,devops|testing,
Task,Setup deployment pipelines,Automated deployment to staging and production environments,CI/CD Pipeline Setup,,5,High,Infrastructure,devops|deployment,
Story,Monitoring and Logging,As a developer I want monitoring and logs so that I can troubleshoot issues,Infrastructure and DevOps,,8,Medium,Infrastructure,monitoring|logging,"GIVEN application running WHEN errors occur THEN they are logged; GIVEN logs WHEN accessed THEN they are searchable; GIVEN system metrics WHEN monitored THEN alerts trigger on anomalies"
Task,Setup application logging,Implement structured logging with levels (debug info warn error),Monitoring and Logging,,3,Medium,Infrastructure,devops|logging,
Task,Configure error tracking,Integrate Sentry or similar for error tracking and alerting,Monitoring and Logging,,3,Medium,Infrastructure,devops|monitoring,
Task,Add performance monitoring,Track API response times model latency and resource usage,Monitoring and Logging,,3,Medium,Infrastructure,devops|monitoring,
Story,Database Management,As a developer I want database migrations and backups so that data is safe,Infrastructure and DevOps,,5,High,Infrastructure,database|devops,"GIVEN schema changes WHEN applied THEN migrations run successfully; GIVEN production database WHEN backed up THEN recovery is possible"
Task,Setup database migration system,Use Flyway Liquibase or ORM migrations for version control,Database Management,,3,High,Infrastructure,database|migrations,
Task,Configure automated backups,Daily backups with retention policy and recovery testing,Database Management,,3,High,Infrastructure,database|backups,
Epic,Documentation and Knowledge Base,Create comprehensive documentation for users developers and administrators,,Documentation,,,Documentation,documentation|docs,
Story,User Documentation,As a user I want documentation so that I can understand how to use the platform,Documentation and Knowledge Base,,5,Medium,Documentation,docs|user,"GIVEN user questions WHEN consulting docs THEN answers are found; GIVEN features WHEN documented THEN step-by-step guides are available"
Task,Write user getting started guide,Guide covering registration first curriculum session and evaluation,User Documentation,,2,Medium,Documentation,documentation,
Task,Create feature documentation,Document all user-facing features with screenshots and examples,User Documentation,,3,Medium,Documentation,documentation,
Task,Write AI model configuration guide,Step-by-step instructions for configuring OpenAI Anthropic and local LLMs,User Documentation,,2,Medium,Documentation,documentation,
Story,Developer Documentation,As a developer I want technical documentation so that I can contribute effectively,Documentation and Knowledge Base,,5,Medium,Documentation,docs|developer,"GIVEN new developer WHEN reading docs THEN architecture is understood; GIVEN code standards WHEN documented THEN contributions are consistent"
Task,Write architecture documentation,Document system architecture components data flow and design decisions,Developer Documentation,,3,Medium,Documentation,documentation,
Task,Create API documentation,OpenAPI/Swagger docs for all REST API endpoints with examples,Developer Documentation,,3,Medium,Documentation,documentation,
Task,Write contributing guidelines,Guide covering code standards testing PR process and review criteria,Developer Documentation,,2,Medium,Documentation,documentation,
Story,Administrator Documentation,As an admin I want operational documentation so that I can manage the platform,Documentation and Knowledge Base,,3,Low,Documentation,docs|admin,"GIVEN operational tasks WHEN documented THEN admins can perform them; GIVEN troubleshooting WHEN needed THEN common issues have solutions"
Task,Write deployment documentation,Guide for deploying and configuring the platform in production,Administrator Documentation,,2,Low,Documentation,documentation,
Task,Create troubleshooting guide,Common issues and solutions for administrators,Administrator Documentation,,2,Low,Documentation,documentation
